id	Chinese	English	Japanese	Korean
54010055	首领已出现，当前炸弹不可用	The Trial Leader has appeared. The current bomb cannot be activated.	ボスが出現しました。このボムは使用できません	보스가 나타나 폭탄을 사용할 수 없습니다.
54010056	当前无炸弹	You don't have any bombs.	ボムを所持していません	폭탄이 없습니다.
54010057	好友已达上限	Your friend list is full.	フレンド数が上限に達しました	친구 수가 최대치입니다.
54010058	没有申请的好友	You don't have any friend requests.	申請中のフレンドはいません	친구 추가 신청이 없습니다.
54010059	对方好友已达上限	This user's friend list is full.	相手のフレンド数は既に上限に達しています	해당 플레이어의 친구 수가 최대치입니다.
54010060	对方已是您的好友	This user is already on your friend list.	相手は既にフレンドです	해당 플레이어가 이미 추가되었습니다.
54010061	对方已将您加入黑名单	This user has blocked you.	相手のブラックリストに入っています	해당 플레이어가 당신을 차단 목록에 추가했습니다.
54010062	您没有该好友	This friend does not exist.	相手はフレンドではありません	해당 친구가 없습니다.
54010063	黑名单列表已满	Your block list is full.	ブラックリストの人数が上限に達しました	차단 목록이 꽉 찼습니다.
54010064	对方已在黑名单中	This user is on your block list.	相手は既にブラックリストに入っています	상대가 이미 차단 목록에 있습니다.
54010065	已赠送过好友友情点	You've already gifted friendship points.	既にこのフレンドにフレンドポイントを送っています	친구에게 우정 포인트를 보냈습니다.
54010066	已超过当日领取上限	You've reached the collection limit for today.	今日はこれ以上受け取れません	오늘의 수령 횟수가 상한에 도달했습니다.
54010067	已领取赠礼	This gift has been claimed.	プレゼントを受け取りました	선물을 수령했습니다.
54010068	不能搜索自己	You cannot search for yourself.	自分の検索はできません	본인을 검색할 수 없습니다.
54010069	该玩家不存在	This player does not exist.	このプレイヤーは存在しません	해당 플레이어가 존재하지 않습니다.
54010070	英雄数量已达上限	The Hero limit has been reached.	異能者数が上限に達しました	영웅 수가 최대치입니다.
54010071	英雄已达当前最大等级	This hero has reached their max level.	この異能者はレベル上限に達しています	영웅이 현재 최대 레벨입니다.
54010072	等级错误	Level error.	レベルエラー	레벨 오류
54010073	未达到进阶需求等级	This hero has not reached the ascension level requirement.	ランクアップに必要なレベル条件を満たしていません	진급 가능 레벨이 부족합니다.
54010074	所选英雄不符合	The selected hero does not meet the requirements.	選択した異能者は条件を満たしていません	선택한 영웅 부합하지 않습니다.
54010075	玩家等级不够，无法装备！	You do not meet the player level requirements of this piece of gear.	トレーナーレベルが足りないため、装備できません！	플레이어 레벨 부족해 착용할 수 없습니다.
54010076	英雄等级不够，无法装备！	The hero does not meet the level requirements of this piece of gear.	異能者レベルが足りないため、装備できません！	영웅 레벨 부족해 착용할 수 없습니다.
54010077	英雄已达上限	This hero has reached their max level.	この異能者は上限に達しています	영웅 수가 최대치입니다.
54010078	所需消耗不足	Not enough items.	消費不足	필요 재료가 부족합니다.
54010079	装备佩戴失败	Failed to equip gear.	装備佩戴失敗	장비 착용에 실패했습니다.
54010080	选中物品中有不可分解道具	One of the selected items cannot be dismantled.	選択した中に分解できないアイテムが含まれています	선택한 것 중 분해할 수 없는 아이템이 있습니다.
54010081	超过单次使用上限	The single use limit has been reached.	1回の使用上限を超えています	1회 사용치를 초과했습니다.
54010082	该道具不能使用	This item cannot be used.	このアイテムは使用できません	해당 아이템을 사용할 수 없습니다.
54010083	无可遣散英雄	This hero cannot be dismissed.	分解可能な異能者が存在しません	해산 가능한 영웅이 없습니다.
54010084	无该英雄	You do not own this hero.	この異能者は所持していません	해당 영웅이 없습니다.
54010085	该英雄已上锁	This hero is locked.	この異能者はロック済みです	해당 영웅이 잠금 상태입니다.
54010086	该英雄已上阵	This hero is already deployed.	この異能者は出陣しています	해당 영웅이 출전 상태입니다.
54010087	不可分解	Cannot be dismantled.	分解不可能	분해할 수 없습니다.
54010088	无可分解装备	Gear cannot be dismantled.	分解できる装備が存在しません	분해 가능한 장비가 없습니다.
54010089	无该装备	This gear does not exist.	この装備は所持していません	해당 장비가 없습니다.
54010090	该装备已穿戴	This gear is already equipped.	この装備は装備済みです	해당 장비는 착용되었습니다.
54010091	该装备不可分解	This gear cannot be dismantled.	この装備は分解できません	해당 장비는 분해가 불가능합니다.
54010092	该副本不可扫荡	This instance cannot be blitzed.	この戦場はクイッククリアできません	해당 던전은 소탕이 불가능합니다.
54010093	副本尚未三星通关	This instance has not been cleared with 3 stars.	この戦場の星3はクリアしていません	별3개 목표를 달성하지 않았습니다.
54010094	该副本尚未通关	This instance has not been cleared.	この戦場はクリアしていません	해당 던전이 클리어되지 않았습니다.
54010095	功绩不足	Insufficient contribution.	功績が足りません	공적이 부족합니다.
54010096	该奖励已购买	This reward has been purchased.	この報酬は購入済みです	해당 보상은 구매했습니다.
54010097	手机号不合法	The mobile number is invalid.	正しい電話番号を入力してください	올바르지 않은 핸드폰 번호입니다.
54010098	领取失败	Failed to claim.	受け取りに失敗しました	수령에 실패했습니다.
54010099	该邮件没有奖励可以领取	There are no unclaimed rewards in your mail.	このメールには受け取り可能な報酬が存在しません	해당 메일에 수령할 보상이 없습니다.
54010100	刷新次数不足	You do not have enough refreshes.	更新回数が足りません	갱신 횟수 부족
54010101	已达当前最高等级	The highest level has been reached.	現在のレベル上限に達しました	현재 최대 레벨입니다.
54010102	该礼包已经购买	This package has been purchased.	このパックは購入済みです	해당 패키지를 이미 구매했습니다.
54010103	在地图探索中，不可以操作	This action is prohibited during exploration.	マップ探索中、操作不可能です	지도 탐색 중에는 조작이 불가능합니다.
54010104	英雄%s秒后复活	Heroes will be revived after %s seconds.	異能者は%s秒後に復活します	영웅이 %s초 후 부활됩니다.
54010105	奖励正在积攒中！	Rewards are being collected.	報酬蓄積中！	보상 수집 중
54010106	对方已被您加入黑名单，无法添加好友	You cannot add this user as a friend while they are on your block list.	相手がブラックリストに入っているので、フレンド申請を送信できません	차단 목록에 있는 플레이어입니다. 친구 추가할 수 없습니다.
54010107	名字不能为空	The name cannot be empty.	ユーザー名を入力してください	이름을 작성해주세요.
54010108	公会名长度不符	The length of the guild name is invalid.	正しい長さのギルド名を入力してください	길드명 길이가 올바르지 않습니다.
54010109	此名已存在	This name is already in use.	ギルド名は既に存在しています	이미 존재하는 이름입니다.
54010110	公会宣言长度不符	The length of the guild announcement is invalid.	正しい長さのギルド宣言を入力してください	길드공지의 길이가 올바르지 않습니다.
54010111	今天已经给他点过赞了	You've already upvoted this item today.	今日は既にいいね！済みです	오늘 이미 해당 플레이어에게 좋아요를 했습니다.
54010112	该红包已不存在	This gift envelope no longer exists.	このギフトは存在しません	해당 선물이 존재하지 않습니다.
54010113	暂无可添加好友	You don't have any user to add.	申請可能なフレンドが存在しません	추가 가능한 친구가 없습니다.
54010114	您所在的公会或您没有达到领奖条件	You (or your guild) did not meet the reward requirements.	あなたかあなたが所属するギルドが報酬受取条件を満たしていません	당신의 소속 길드나 본인이 보상 수령 조건에 도달하지 않았습니다.
54010115	您已领取过奖励	You have already claimed this reward.	この報酬は受け取り済みです	보상을 이미 수령했습니다.
54010116	您援助了%s%s*%s	You assisted %s with %s*%s.	%sに%s×%sを支援しました	%s%s*%s 지원했습니다.
54010117	%s援助了您%s*%s	%s assisted you with %s*%s.	%sがあなたに%s×%sを支援しました	%s님이 당신에게 지원함: %s*%s
54010118	%s在公会中需求了%s*%s，赶紧来帮助吧！	%s requested %s*%s from the guild. Time to lend a hand!	%sがギルドで%s×%sを求めています、助けてあげましょう！	%s님이 길드에서 요청함: %s*%s 빨리 도와주세요!
54010119	%s在公会中需求了%s*%s和%s*%s，赶紧来帮助吧！	%s requested %s*%s and %s*%s from the guild. Time to lend a hand!	%sがギルドで%s×%sと%s×%sを求めています、助けてあげましょう！	%s님이 길드에서 요청함: %s*%s 및 %s*%s 빨리 도와주세요!
54010120	%s援助了%s%s*%s	%s assisted %s with %s*%s.	%sが%sに%s×%sを支援しました	%s님이 지원함: %s*%s
54010121	需先领取上一档奖励！	You must claim the previous reward first!	まずは前の報酬を受け取ってください	이전 보상을 먼저 받으셔야 합니다!
54010122	奖励已领取	This reward has been claimed.	報酬は受け取り済みです	보상을 수령했습니다.
54010123	没有问卷信息	No questionnaire information found.	アンケートはありません	설문 정보가 없습니다.
54010124	进度不匹配	Insufficient progress.	進捗がマッチしません	진행 상황이 일치하지 않습니다.
54010125	数量不足	Insufficient quantity.	数が足りません	수량이 부족합니다.
54010126	星级不足	Insufficient tier.	レア度が足りません	성급 부족
54010127	阵营不符	Invalid faction.	陣営条件を満たしていません	진영이 올바르지 않습니다.
54010128	地图信息不存在	Map information does not exist.	マップが存在しません	지도 정보가 존재하지 않습니다.
54010129	团队规则错误	Squad rule error.	チームルールエラー	팀 규칙 오류입니다.
